epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1861.37,0.86288,0.68563,1.02483,0.90823,0.79946,0.88498,0.74313,0.72128,0.53751,0.92006,3.53549e-05,3.53549e-05,3.53549e-05
73,1887.02,0.84074,0.69404,1.02636,0.88593,0.81615,0.88573,0.74448,0.71893,0.53465,0.91894,3.41768e-05,3.41768e-05,3.41768e-05
74,1912.76,0.82302,0.67625,1.03103,0.89339,0.81334,0.8865,0.74496,0.71655,0.53402,0.91818,3.29987e-05,3.29987e-05,3.29987e-05
75,1938.52,0.80662,0.67061,1.03456,0.89924,0.81525,0.88641,0.74492,0.71346,0.53296,0.91717,3.18206e-05,3.18206e-05,3.18206e-05
76,1964.12,0.83154,0.697,1.02965,0.91134,0.8053,0.88546,0.74534,0.71016,0.53163,0.91572,3.06425e-05,3.06425e-05,3.06425e-05
77,1989.54,0.80369,0.64665,1.02792,0.91702,0.80211,0.88516,0.74437,0.70788,0.52974,0.91531,2.94644e-05,2.94644e-05,2.94644e-05
78,2014.94,0.80153,0.68762,1.02765,0.88987,0.81957,0.88604,0.74651,0.70724,0.52848,0.91532,2.82863e-05,2.82863e-05,2.82863e-05
79,2040.37,0.83002,0.69839,1.03842,0.89422,0.81912,0.88722,0.74571,0.70656,0.52715,0.91492,2.71082e-05,2.71082e-05,2.71082e-05
80,2065.82,0.78932,0.68949,1.02329,0.92305,0.79873,0.88757,0.74678,0.7059,0.5255,0.91473,2.59301e-05,2.59301e-05,2.59301e-05
81,2091.37,0.84695,0.72133,1.03486,0.92349,0.80072,0.8879,0.74509,0.70608,0.52522,0.9149,2.4752e-05,2.4752e-05,2.4752e-05
82,2116.88,0.85553,0.70873,1.03601,0.93046,0.7988,0.88896,0.74522,0.70471,0.52479,0.91427,2.35739e-05,2.35739e-05,2.35739e-05
83,2142.45,0.87039,0.72286,1.04005,0.93212,0.79891,0.88894,0.74548,0.70416,0.52562,0.91415,2.23958e-05,2.23958e-05,2.23958e-05
84,2167.9,0.80476,0.68492,1.02732,0.93208,0.79778,0.88647,0.74652,0.7042,0.52654,0.9141,2.12177e-05,2.12177e-05,2.12177e-05
85,2193.01,0.82554,0.69493,1.03268,0.92822,0.79839,0.88632,0.74607,0.70446,0.52593,0.91411,2.00396e-05,2.00396e-05,2.00396e-05
86,2218.23,0.84408,0.68749,1.03377,0.92745,0.79956,0.88698,0.7456,0.70432,0.52418,0.91376,1.88615e-05,1.88615e-05,1.88615e-05
87,2243.43,0.81754,0.67421,1.03851,0.92596,0.80123,0.88806,0.74488,0.70366,0.52159,0.91317,1.76834e-05,1.76834e-05,1.76834e-05
88,2270.04,0.8085,0.67231,1.0313,0.92746,0.80147,0.88861,0.7456,0.70224,0.51932,0.91251,1.65053e-05,1.65053e-05,1.65053e-05
89,2296.29,0.8352,0.69256,1.01773,0.92547,0.80671,0.88886,0.7466,0.70054,0.51767,0.91207,1.53272e-05,1.53272e-05,1.53272e-05
90,2322.29,0.84991,0.6958,1.03688,0.9231,0.80872,0.88914,0.7489,0.69972,0.51766,0.91176,1.41491e-05,1.41491e-05,1.41491e-05
91,2347.71,0.81593,0.68734,1.00264,0.92784,0.80039,0.88843,0.74839,0.70293,0.52222,0.91206,1.2971e-05,1.2971e-05,1.2971e-05
92,2372.55,0.8822,0.73178,1.0162,0.92898,0.79881,0.88987,0.74724,0.70792,0.52716,0.91342,1.17929e-05,1.17929e-05,1.17929e-05
93,2397.82,0.90179,0.78809,1.03887,0.92169,0.79761,0.88795,0.74211,0.71402,0.53366,0.91541,1.06148e-05,1.06148e-05,1.06148e-05
94,2423.83,0.86974,0.7397,1.03082,0.92651,0.79443,0.88704,0.7411,0.72109,0.53908,0.91796,9.4367e-06,9.4367e-06,9.4367e-06
95,2449.36,0.85088,0.70889,1.01898,0.91165,0.79837,0.88538,0.74014,0.72514,0.54276,0.91936,8.2586e-06,8.2586e-06,8.2586e-06
96,2474.71,0.85479,0.71944,1.01463,0.8886,0.79919,0.87738,0.7368,0.72882,0.54691,0.92026,7.0805e-06,7.0805e-06,7.0805e-06
97,2499.69,0.82189,0.67834,1.00688,0.86006,0.81571,0.87716,0.73524,0.72996,0.54806,0.92054,5.9024e-06,5.9024e-06,5.9024e-06
98,2524.57,0.82522,0.65986,1.00337,0.88171,0.80459,0.877,0.7358,0.73047,0.54912,0.92107,4.7243e-06,4.7243e-06,4.7243e-06
99,2549.28,0.81414,0.69441,0.99919,0.88023,0.80433,0.87714,0.73468,0.73213,0.55239,0.92154,3.5462e-06,3.5462e-06,3.5462e-06
100,2574.17,0.85305,0.69146,1.01278,0.88432,0.80121,0.87659,0.73709,0.73383,0.55514,0.92226,2.3681e-06,2.3681e-06,2.3681e-06
